;Especie;Registros;GBIF;CBC;Reino;Filo;Clase;Orden;Familia;Género
1693;Dicranopygium globosum;1;https://www.gbif.org/species/2861167;NA;Plantae;Tracheophyta;Liliopsida;Pandanales;Cyclanthaceae;Dicranopygium
1694;Dicranopygium goudotii;70;https://www.gbif.org/species/2861151;NA;Plantae;Tracheophyta;Liliopsida;Pandanales;Cyclanthaceae;Dicranopygium
1695;Dicranopygium idrobonis;10;https://www.gbif.org/species/2861172;NA;Plantae;Tracheophyta;Liliopsida;Pandanales;Cyclanthaceae;Dicranopygium
1696;Dicranopygium mirabile;10;https://www.gbif.org/species/2861168;NA;Plantae;Tracheophyta;Liliopsida;Pandanales;Cyclanthaceae;Dicranopygium
1697;Dicranopygium odoratum;5;https://www.gbif.org/species/2861183;NA;Plantae;Tracheophyta;Liliopsida;Pandanales;Cyclanthaceae;Dicranopygium
1698;Dicranopygium parvulum;46;https://www.gbif.org/species/2861143;NA;Plantae;Tracheophyta;Liliopsida;Pandanales;Cyclanthaceae;Dicranopygium
1699;Dicranopygium polycephalum;7;https://www.gbif.org/species/2861125;NA;Plantae;Tracheophyta;Liliopsida;Pandanales;Cyclanthaceae;Dicranopygium
1700;Dicranopygium sararense;14;https://www.gbif.org/species/2861169;NA;Plantae;Tracheophyta;Liliopsida;Pandanales;Cyclanthaceae;Dicranopygium
1701;Dicranopygium scoparum;1;https://www.gbif.org/species/2861141;NA;Plantae;Tracheophyta;Liliopsida;Pandanales;Cyclanthaceae;Dicranopygium
1702;Didymodon lindigii;14;https://www.gbif.org/species/5280289;NA;Plantae;Bryophyta;Bryopsida;Pottiales;Pottiaceae;Didymodon
1703;Didymoglossum lehmannii;14;https://www.gbif.org/species/3607555;NA;Plantae;Tracheophyta;Polypodiopsida;Hymenophyllales;Hymenophyllaceae;Didymoglossum
1704;Dieffenbachia brittonii;13;https://www.gbif.org/species/2869451;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Dieffenbachia
1705;Dieffenbachia enderi;4;https://www.gbif.org/species/2869449;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Dieffenbachia
1706;Digitaria cardenasiana;10;https://www.gbif.org/species/5676379;https://catalogo.biodiversidad.co/file/56e7846183c45700544e409b/summary;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;Digitaria
1707;Diglossa gloriosissima;2288;https://www.gbif.org/species/5230666;NA;Animalia;Chordata;Aves;Passeriformes;Thraupidae;Diglossa
